,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,B99,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,EU27_2020,EXT_EU27_2020,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KCMD_905b,KCMD_927b,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TOTAL,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UN_1500,UN_1501,UN_1502,UN_1503,UN_1517,UN_1518,UN_1636,UN_1637,UN_1829,UN_1830,UN_1832,UN_1833,UN_1835,UN_5500,UN_5501,UN_900,UN_901,UN_902,UN_903,UN_904,UN_905,UN_906,UN_908,UN_909,UN_910,UN_911,UN_912,UN_913,UN_914,UN_915,UN_916,UN_920,UN_921,UN_922,UN_923,UN_924,UN_925,UN_926,UN_927,UN_928,UN_931,UN_934,UN_935,UN_941,UN_947,UN_948,UN_954,UN_957,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
TLS,0,0,0,0,0,0,0,0,15734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2277,0,0,0,0,0,0,0,0,0,0,0
TON,0,0,0,0,27,131,0,0,27273,12,0,0,0,6,0,0,14,0,1,0,0,0,0,0,0,9,2,1,0,3,0,251,70,0,2394,0,0,0,0,0,0,0,2,5,2,0,6,275,0,4,16,0,0,1,0,0,22,0,0,0,0,2,19696,106,5,0,387,3,8,0,0,0,0,0,1,0,0,1963,0,1,0,10,148,119,6,0,0,0,2,59,2,1,978,0,0,0,9,0,7,28,0,368,0,5,0,0,0,0,14,0,0,2,0,0,26,0,1,1,16,12,0,0,3,2,5,0,0,1,0,88,1,0,4,0,54,29,18,1,19,84854,0,0,3,0,247,28,321,1,0,1,0,0,2,21,5,0,0,0,0,640,183,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,93,0,0,0,0,0,0,0,11,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12684,0,0,0,0,15,133,1674,0,47,2,2
TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925168527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTO,1,357,8,0,876,878,0,8374,1540,631,233,0,1,525,0,0,179,171,126,5049,4,6,972,750,202,4765,95047,34,0,31,0,98993,1263,702,5140,50,34,1,41,6495,0,0,2198,5149,1573,37,118,4105,2,2527,874,7988,14,753,205,0,2275,44,29,0,0,372,27,1602,0,17,67014,51,275,9,0,3,1,126,450,1108,82686,344,343,309,1128,128,606,5695,1047,7,57,5,589,1466,27169,9,603,72,0,0,111,13,5,1,3053,1084,130,2,211,10,0,54836,41,2,84,17,273,2,242,5,1,71,8216,0,2,2,93,59,0,16,2,64,6,739,140,0,7069,282,0,2311,895,4,0,296,102,88,8401,1202,2715,2,28,1544,0,443,120,0,149,380,737,61,767,9,35,378,3,32,614,0,0,0,22258,0,16,1860,0,14,0,796,7,16,335,0,0,0,1,0,0,15,186,0,284,103,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,497073,2,63137,29199,1978,37,4,11,0,1302,11,17
TUN,39,859,333,0,36478,278,42,0,1457,26005,277,0,289,108874,1098,4614,451,1962,4004,18,366,304,3,0,14,3205,27,14,0,130,258,42060,99661,102,15398,22298,4830,1768,1927,116,77,161,25,203,4,1058,5595,371320,631,0,5907,161,2622039,46,63205,21,73035,215,1099,0,0,2486,14,1654314,0,3719,62329,189,957,2,1532,361,289,301,5564,6,1,2394,11,825,88,2289,2078,3999,1412,1475,5361,45,1385,322404,52,16192,2192,180,0,0,1967,25,52,0,2,3503,11847,7,25271,139,712573,25,422,30,307,16088,278,2,184959,182,400,719,848,0,335,15315,19134,44,13,308,27016,639,40,6719,97,8079,1576,13,0,24099,2766,80,0,60,13520,996,110,78,1295,0,2,4129,0,16112,8,0,35448,10934,626908,468,118521,2977,10490,540,0,287,2,0,71,10,2,6010,236,12845,0,181,0,0,3314,1087,3321,31,17,0,0,0,14,0,182471,0,820,779,4654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34643,192,6,138,0,378,0,4,1,3451,299,124
TUR,56285,1626,150797,0,430389,16860,50959,22,76461,806144,917630,0,244,464462,1284,3736,21354,3001100,124496,183,148790,114642,49,27,262,51946,157,679,10,458,153,103602,986003,10117,243773,5127,7809,4386,2738,21473,86,215,446,16724,22,1855867,185653,9457335,3363,35,273520,6542,407722,1233,217543,869,456278,42178,18579,0,0,143226,110,854931,9,3384,3389066,3460208,7567,276,1642,1622,139,364,347790,228,113,37432,121,52308,128,141233,32022,99988,41170,2090067,804321,1685,368542,835005,612,222034,60286,329755,0,0,18993,149953,967,4,24,132455,372386,98,356407,1937,197021,52,6168,108,116855,43665,50394,25,126444,148638,1329,13932,23479,1,251563,4591,28632,978,8754,3582,4646,3256,353,61485,1169,2953,33447,136,0,1120568,205978,5965,10,12711,28579,66990,1617,1566,50442,18,148,284519,0,56543,302,0,160572,681100,899270,3145,1213380,29655,8681,38524,18,669,81,0,5498,3,189,70577,42584,244737,0,2363,2,6,2264,930,69129,36645,180098,0,21,0,173,186536,0,0,8386,5981,1228780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,548102,128954,25,5236,8,7937,19,36,91,43297,1723,1421
TUV,0,0,0,0,7,0,0,0,390,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4219,1,3,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,10,12,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,21,0,57,1,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,5,810,0,0,0,0,24,3,10,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,2,0,18,0,1,0,0
TZA,275,1296,62,0,84303,545,160,62,16456,7411,152,0,6361,11159,425,485,796,2055,1450,24,130,59,3,20,31,1146,43,2,7,3367,199,20999,22450,246,56330,1370,1729,2810,1646,850,24737,15,280,138,7,450,3716,72432,734,1,15217,575,1200,222,11149,245,17651,419,18326,0,0,2726,32,35766,0,469,77346,217,3238,9,101,173,49,141,2340,23,15,5866,9,546,21,1269,1105,92902,3102,3139,1475,125,23774,50413,69,1438,5129,159,0,0,338732,25,518,0,0,7425,2877,52,2652,431,18,3,1667,1564,259,855,246,0,1476,57,1870,498,2212,0,38,765,312,162,41,14311,110,2906,15845,3178,2072,183,18872,21,0,35573,8973,727,0,3977,38062,8258,48,122,1712,1,87,2878,0,2273,89,0,7767,3686,7545,129911,7386,4804,1246,1340,0,405,7,75,243,36,118,812,339,15461,7351,4694,0,0,336,274,4659,18,64,0,1,0,284,1268,8631,0,0,123961,6685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,92524,19,0,7,1,1741,0,1,17,148658,259264,43854
UGA,630,554,43,0,78014,155,32,3,5552,2143,86,0,10640,8615,599,565,1407,324,432,97,102,42,10,19,34,705,25,5,162,1649,1405,11585,6110,50,35689,1571,2146,3738,660,155,113,22,151,81,4,355,775,16402,1101,4,5199,36,389,91,7234,1888,3375,75,18773,0,0,868,71,5853,0,472,59416,85,4903,1,211,309,108,128,797,31,34,4258,9,151,128,397,747,48164,2489,760,2996,66,3929,9304,45,1520,3650,62,0,0,205839,41,270,0,0,4678,864,23,1724,894,29,2,1388,705,102,119,88,1357,2960,40,836,82,486,0,48,944,144,138,54,2123,124,1976,2857,1926,1003,460,13865,40,0,10759,3984,687,0,967,7219,3035,67,128,902,0,68,461,12,715,60,0,4543,655,2698,633438,4612,6938,1568,668,11,1209,14,0,1231,12,41,44,116,8080,1,990,0,2,659,310,3165,80,26,0,0,0,103,575,5761,0,123961,0,1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,66398,20,1,9,1,405,1,14,1,43165,6879,7041
UKR,1926,2613,14683,0,166766,2694,43524,53,7566,124111,160241,0,47,42165,209,198,2242,380035,3336,787,3801,1827485,49,25,28,10289,263,150,97,72,43,50218,87316,2077,180038,1113,880,639,1019,1029,65,71,1156,2512,20,76204,169503,418491,219,17,35152,5533,4254,5929,431730,195,168968,28475,609,0,0,25324,59,125884,0,435,173220,223290,1718,1440,552,18,63,912,135274,572,62,13434,54,69464,38,1450215,5328,40800,8220,21996,11931,1560,423976,280447,585,16270,12944,110856,0,0,1522,28749,5431,0,4,37057,5303,60,7062,140,198,24,31587,14,136204,4106,106674,4662,13929,25528,289,7686,16021,1,7770,334,6105,428,2192,445,921,3497,21,13276,1748,52,6791,478,0,65188,25792,1940,0,2306,1586,4287,3242,2706,2541,18,59,12348163,1,36245,301,0,4487,1829929,10042897,309,9265,1444,634,17326,2,331,112,7381,337,4,90,463358,32470,41379,0,2424,0,10,149,721,23142,6950,12477,0,2,0,1082,4471,1228780,0,6685,1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,280868,20353,8,490,7,8685,8,1,3,6490,381,243
UN_1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5694771,0,0,8124748,14589263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1501,0,0,0,0,0,0,0,0,0,0,0,141810204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21746572,90063057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1502,0,0,0,0,0,0,0,0,0,0,0,444103013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90158409,130543249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7903834,0,0,1401651506,568752676,13324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14737298,0,0,571175229,332511287,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13219,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1636,0,0,0,0,0,0,0,0,0,0,0,58466209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11274197,226501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1637,0,0,0,0,0,0,0,0,0,0,0,84900837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215313,3699367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9279170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295587404,98005831,62580133,81772958,189918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23944517,0,0,0,0,0,0,0,0,0,0,0,12134474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98224540,68219474,1989373,815892,2932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258928,0,0,0,0,0,0,0,0,0,0,0,362479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11807612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62803965,1978818,610131620,9508606,456638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14267443,0,0,0,0,0,0,0,0,0,0,0,2113246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82376510,814849,9464890,132142924,6029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37283647,0,0,0,0,0,0,0,0,0,0,0,4056775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197300,2901,455868,6502,313433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16836,0,0,0,0,0,0,0,0,0,0,0,3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN_5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6545890,305135,0,0,0,0,0,0,838207,0,0,2922,704,12796,3187,905,761,2021,159459,0,1606662,8674713,188761,131229,374898,9332,157,3102,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
